10/10|17684656.25|10|44804|1037720|352
20/10|18474968.75|20|270071|2616720|715
30/10|18573406.25|30|697155|4527340|984
40/10|19286531.25|40|1214117|6301200|1315
50/10|19291843.75|50|1627947|7677540|1280
60/10|19409343.75|60|2081680|9187440|1914
70/10|19624031.25|70|2328127|9994760|2360
80/10|19937781.25|80|2851163|11617640|3132
90/10|20061218.75|90|3331744|13157520|3851
100/10|20890906.25|100|4112481|15483920|4644
